id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
3,Philippines,STEREO,5,828,Salon Carreras,Bubble Bobble
4,United States,STEREO,3,630,Salon 6,Mortal Kombat
5,China,STEREO,5,886,Salon 3,Tetris
6,Indonesia,STEREO,2,962,Salon Retro,Mortal Kombat
7,Indonesia,MONO,2,856,Salon 1,Bubble Bobble
8,Japan,MONO,2,792,Salon 1,Space Invaders
9,Russia,MONO,5,996,Salon 2021,Out Run
10,Indonesia,STEREO,2,640,Salon 2021,Virtua Cop
11,China,MONO,4,556,Salon Carreras,Space Invaders
13,Philippines,MONO,5,248,Salon Retro,Tron
14,Indonesia,STEREO,2,694,Salon Carreras,Metal Slug
15,Sweden,STEREO,3,868,Salon 3,Out Run
18,Sweden,MONO,2,760,Salon 2021,Virtua Cop
19,Ethiopia,MONO,2,210,Salon 6,Virtua Cop
20,Brazil,MONO,3,686,Salon 3,Pong
22,Philippines,STEREO,3,912,Salon 6,Bubble Bobble
23,Belarus,STEREO,2,830,Salon 3,Space Invaders
24,Sri Lanka,STEREO,5,666,Salon 1,Virtua Cop
25,China,STEREO,3,568,Salon VR,Arkanoid
26,Cyprus,STEREO,3,964,Salon Retro,Bubble Bobble
27,Cuba,MONO,3,392,Salon VR,Out Run
28,Sweden,MONO,2,294,Salon Retro,Asteroids
29,Mauritius,STEREO,4,786,Salon 1,Double Dragon
30,France,MONO,4,960,Salon 1,Asteroids
31,Kazakhstan,MONO,3,618,Salon 3,Tron
32,Afghanistan,STEREO,3,232,Salon 3,Pacman
34,Russia,STEREO,5,602,Salon 6,Pacman
35,Indonesia,STEREO,4,414,Salon Retro,Street Fighter II
36,Indonesia,STEREO,5,938,Salon 2021,Asteroids
37,Indonesia,STEREO,5,478,Salon Retro,Pong
38,Philippines,MONO,2,374,Salon 5,Castelvania
39,China,STEREO,3,784,Salon 2021,Galaga
40,Greece,MONO,5,446,Salon 4,Pong
41,Ireland,MONO,4,840,Salon Carreras,Pong
43,Philippines,STEREO,5,992,Salon 5,Metal Slug
44,Russia,MONO,5,302,Salon Carreras,Tetris
45,Indonesia,STEREO,3,630,Salon 6,Virtua Cop
46,China,STEREO,4,912,Salon 5,Star Wars
48,Indonesia,MONO,3,744,Salon 1,Galaga
50,Portugal,MONO,4,588,Salon 3,Bubble Bobble
51,Uganda,MONO,3,606,Salon 5,Pong
52,Paraguay,MONO,2,214,Salon 5,Space Invaders
53,Indonesia,STEREO,4,884,Salon 3,Mortal Kombat
54,Greece,MONO,2,908,Salon 2021,Virtua Cop
55,Iran,MONO,2,938,Salon VR,Galaga
57,Madagascar,MONO,3,824,Salon 5,Tetris
58,China,MONO,3,676,Salon Carreras,Arkanoid
59,Philippines,STEREO,4,606,Salon Carreras,Tetris
60,Uruguay,STEREO,2,760,Salon 6,Out Run
61,Ireland,MONO,3,394,Salon 1,Tron
62,China,STEREO,5,908,Salon 1,Pacman
64,Japan,MONO,3,520,Salon 2,Virtua Cop
65,Indonesia,MONO,4,520,Salon 1,Castelvania
69,Russia,MONO,5,226,Salon 1,Tron
70,Albania,STEREO,4,752,Salon VR,Galaga
71,Micronesia,STEREO,5,830,Salon VR,Out Run
72,Ecuador,STEREO,3,338,Salon Carreras,Metal Slug
73,China,MONO,4,334,Salon 2,Asteroids
74,Sri Lanka,STEREO,2,614,Salon Carreras,Metal Slug
75,Argentina,MONO,3,356,Salon 1,Out Run
76,China,STEREO,4,282,Salon 2021,Out Run
77,Poland,STEREO,3,244,Salon 3,Asteroids
78,Colombia,STEREO,3,454,Salon 1,Galaga
79,China,MONO,4,720,Salon 6,Pacman
80,Czech Republic,MONO,4,770,Salon Carreras,Castelvania
81,Russia,STEREO,3,552,Salon Retro,Tetris
82,New Zealand,STEREO,4,412,Salon 6,Virtua Cop
84,Honduras,MONO,5,778,Salon 3,Star Wars
85,China,MONO,2,296,Salon 2021,Castelvania
91,Indonesia,STEREO,4,866,Salon Retro,Street Fighter II
92,Sweden,STEREO,2,720,Salon 3,Star Wars
93,Philippines,STEREO,3,240,Salon Retro,Arkanoid
94,China,STEREO,5,884,Salon Retro,Bubble Bobble
95,United States,MONO,2,436,Salon 6,Arkanoid
97,Portugal,MONO,2,314,Salon 2,Tetris
98,Indonesia,STEREO,3,958,Salon 2,Star Wars
99,Philippines,STEREO,4,548,Salon Retro,Bubble Bobble
100,China,STEREO,5,426,Salon 3,Street Fighter II
101,Estonia,MONO,4,430,Salon 3,Virtua Cop
102,Indonesia,MONO,3,310,Salon 2,Metal Slug
103,China,MONO,3,464,Salon VR,Castelvania
104,Portugal,STEREO,3,602,Salon 3,Tron
105,Philippines,STEREO,3,426,Salon Carreras,Space Invaders
107,Mexico,STEREO,4,944,Salon 5,Pong
108,Russia,STEREO,3,954,Salon 6,Bubble Bobble
109,Bulgaria,STEREO,3,568,Salon 6,Star Wars
110,Indonesia,STEREO,4,478,Salon 1,Metal Slug
111,Russia,MONO,3,858,Salon Carreras,Virtua Cop
112,China,STEREO,5,888,Salon Retro,Space Invaders
113,China,STEREO,3,218,Salon 2021,Pacman
114,Chile,STEREO,5,564,Salon 6,Castelvania
116,Poland,MONO,3,346,Salon 6,Mortal Kombat
117,Japan,MONO,5,974,Salon Carreras,Tron
119,China,STEREO,5,948,Salon 2021,Out Run
120,Mexico,STEREO,5,670,Salon VR,Pacman
121,New Caledonia,STEREO,2,586,Salon Retro,Star Wars
122,Portugal,STEREO,3,212,Salon 1,Virtua Cop
123,Nigeria,STEREO,5,780,Salon Retro,Frogger
124,China,MONO,2,368,Salon 2021,Bubble Bobble
125,Greece,STEREO,3,404,Salon 4,Arkanoid
126,Bolivia,MONO,5,782,Salon 2021,Castelvania
127,Peru,STEREO,3,822,Salon VR,Star Wars
128,China,STEREO,5,916,Salon 6,Metal Slug
129,Peru,STEREO,2,844,Salon 3,Virtua Cop
130,Argentina,STEREO,2,364,Salon 2021,Asteroids
131,South Africa,MONO,2,580,Salon 5,Arkanoid
132,Argentina,STEREO,2,872,Salon 2021,Out Run
133,Ukraine,STEREO,2,822,Salon 2021,Tron
135,China,STEREO,3,534,Salon 2,Pong
136,Armenia,MONO,3,748,Salon 4,Asteroids
137,France,MONO,4,578,Salon 6,Out Run
138,Indonesia,MONO,4,302,Salon 3,Out Run
139,Czech Republic,STEREO,3,272,Salon VR,Metal Slug
140,Armenia,STEREO,4,792,Salon 1,Mortal Kombat
141,Guatemala,STEREO,3,792,Salon 2,Street Fighter II
142,France,MONO,5,988,Salon 2021,Frogger
143,China,MONO,5,666,Salon 2021,Mortal Kombat
145,Russia,MONO,5,708,Salon 3,Street Fighter II
146,Slovenia,MONO,5,354,Salon 3,Pong
147,United States,MONO,2,842,Salon 2,Mortal Kombat
148,Japan,STEREO,2,338,Salon 2021,Tron
149,Philippines,STEREO,2,300,Salon 1,Star Wars
150,Philippines,STEREO,3,534,Salon Carreras,Star Wars
151,Thailand,MONO,4,218,Salon 5,Tetris
152,Argentina,STEREO,3,306,Salon VR,Out Run
154,Indonesia,MONO,2,664,Salon 2021,Pacman
155,China,MONO,3,794,Salon 6,Castelvania
156,Nepal,MONO,5,434,Salon 2021,Frogger
157,Estonia,MONO,2,602,Salon 2,Out Run
160,Malaysia,STEREO,5,884,Salon 2,Galaga
