id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
1,China,STEREO,1,730,Salon 2021,Metal Slug
2,China,STEREO,1,560,Salon 2,Mortal Kombat
3,Philippines,STEREO,5,828,Salon Carreras,Bubble Bobble
4,United States,STEREO,3,630,Salon 6,Mortal Kombat
5,China,STEREO,5,886,Salon 3,Tetris
6,Indonesia,STEREO,2,962,Salon Retro,Mortal Kombat
7,Indonesia,MONO,2,856,Salon 1,Bubble Bobble
8,Japan,MONO,2,792,Salon 1,Space Invaders
9,Russia,MONO,5,996,Salon 2021,Out Run
10,Indonesia,STEREO,2,640,Salon 2021,Virtua Cop
11,China,MONO,4,556,Salon Carreras,Space Invaders
12,Portugal,STEREO,1,952,Salon 6,Frogger
13,Philippines,MONO,5,248,Salon Retro,Tron
14,Indonesia,STEREO,2,694,Salon Carreras,Metal Slug
15,Sweden,STEREO,3,868,Salon 3,Out Run
16,Russia,MONO,1,612,Salon VR,Metal Slug
17,Madagascar,MONO,1,666,Salon 6,Out Run
18,Sweden,MONO,2,760,Salon 2021,Virtua Cop
19,Ethiopia,MONO,2,210,Salon 6,Virtua Cop
20,Brazil,MONO,3,686,Salon 3,Pong
21,China,MONO,1,450,Salon 2,Tron
22,Philippines,STEREO,3,912,Salon 6,Bubble Bobble
23,Belarus,STEREO,2,830,Salon 3,Space Invaders
24,Sri Lanka,STEREO,5,666,Salon 1,Virtua Cop
25,China,STEREO,3,568,Salon VR,Arkanoid
26,Cyprus,STEREO,3,964,Salon Retro,Bubble Bobble
27,Cuba,MONO,3,392,Salon VR,Out Run
28,Sweden,MONO,2,294,Salon Retro,Asteroids
29,Mauritius,STEREO,4,786,Salon 1,Double Dragon
30,France,MONO,4,960,Salon 1,Asteroids
31,Kazakhstan,MONO,3,618,Salon 3,Tron
32,Afghanistan,STEREO,3,232,Salon 3,Pacman
33,China,STEREO,1,812,Salon 3,Street Fighter II
34,Russia,STEREO,5,602,Salon 6,Pacman
35,Indonesia,STEREO,4,414,Salon Retro,Street Fighter II
36,Indonesia,STEREO,5,938,Salon 2021,Asteroids
37,Indonesia,STEREO,5,478,Salon Retro,Pong
38,Philippines,MONO,2,374,Salon 5,Castelvania
39,China,STEREO,3,784,Salon 2021,Galaga
40,Greece,MONO,5,446,Salon 4,Pong
41,Ireland,MONO,4,840,Salon Carreras,Pong
42,Greece,MONO,1,590,Salon 5,Tron
43,Philippines,STEREO,5,992,Salon 5,Metal Slug
44,Russia,MONO,5,302,Salon Carreras,Tetris
45,Indonesia,STEREO,3,630,Salon 6,Virtua Cop
46,China,STEREO,4,912,Salon 5,Star Wars
47,China,STEREO,1,968,Salon 2,Virtua Cop
48,Indonesia,MONO,3,744,Salon 1,Galaga
49,Colombia,MONO,1,260,Salon 2021,Double Dragon
50,Portugal,MONO,4,588,Salon 3,Bubble Bobble
51,Uganda,MONO,3,606,Salon 5,Pong
52,Paraguay,MONO,2,214,Salon 5,Space Invaders
53,Indonesia,STEREO,4,884,Salon 3,Mortal Kombat
54,Greece,MONO,2,908,Salon 2021,Virtua Cop
55,Iran,MONO,2,938,Salon VR,Galaga
56,Philippines,MONO,1,778,Salon 3,Out Run
57,Madagascar,MONO,3,824,Salon 5,Tetris
58,China,MONO,3,676,Salon Carreras,Arkanoid
59,Philippines,STEREO,4,606,Salon Carreras,Tetris
60,Uruguay,STEREO,2,760,Salon 6,Out Run
61,Ireland,MONO,3,394,Salon 1,Tron
62,China,STEREO,5,908,Salon 1,Pacman
63,Bangladesh,STEREO,1,678,Salon 4,Mortal Kombat
64,Japan,MONO,3,520,Salon 2,Virtua Cop
65,Indonesia,MONO,4,520,Salon 1,Castelvania
66,Brazil,MONO,1,550,Salon 2,Space Invaders
67,Colombia,STEREO,1,272,Salon 6,Tetris
68,Indonesia,STEREO,1,778,Salon Carreras,Virtua Cop
69,Russia,MONO,5,226,Salon 1,Tron
70,Albania,STEREO,4,752,Salon VR,Galaga
71,Micronesia,STEREO,5,830,Salon VR,Out Run
72,Ecuador,STEREO,3,338,Salon Carreras,Metal Slug
73,China,MONO,4,334,Salon 2,Asteroids
74,Sri Lanka,STEREO,2,614,Salon Carreras,Metal Slug
75,Argentina,MONO,3,356,Salon 1,Out Run
76,China,STEREO,4,282,Salon 2021,Out Run
77,Poland,STEREO,3,244,Salon 3,Asteroids
78,Colombia,STEREO,3,454,Salon 1,Galaga
79,China,MONO,4,720,Salon 6,Pacman
80,Czech Republic,MONO,4,770,Salon Carreras,Castelvania
81,Russia,STEREO,3,552,Salon Retro,Tetris
82,New Zealand,STEREO,4,412,Salon 6,Virtua Cop
83,China,MONO,1,664,Salon 5,Bubble Bobble
84,Honduras,MONO,5,778,Salon 3,Star Wars
85,China,MONO,2,296,Salon 2021,Castelvania
86,Philippines,MONO,1,706,Salon 6,Galaga
87,Poland,STEREO,1,322,Salon 2,Arkanoid
88,Philippines,STEREO,1,474,Salon Carreras,Out Run
89,Bahrain,MONO,1,352,Salon 1,Mortal Kombat
90,Morocco,MONO,1,618,Salon 6,Star Wars
91,Indonesia,STEREO,4,866,Salon Retro,Street Fighter II
92,Sweden,STEREO,2,720,Salon 3,Star Wars
93,Philippines,STEREO,3,240,Salon Retro,Arkanoid
94,China,STEREO,5,884,Salon Retro,Bubble Bobble
95,United States,MONO,2,436,Salon 6,Arkanoid
96,China,MONO,1,776,Salon Carreras,Out Run
97,Portugal,MONO,2,314,Salon 2,Tetris
98,Indonesia,STEREO,3,958,Salon 2,Star Wars
99,Philippines,STEREO,4,548,Salon Retro,Bubble Bobble
100,China,STEREO,5,426,Salon 3,Street Fighter II
101,Estonia,MONO,4,430,Salon 3,Virtua Cop
